类别：所有类别	
game: (2024/10/12 - 2025/1/12, 美国)	
	
TOP	
the game	100
football game	32
squid game	23
chiefs game	14
nfl game	13
lions game	12
snake game	11
cowboys game	10
squid game 2	10
eagles game	8
vikings game	7
texas game	7
game of thrones	7
squid game season 2	7
game pass	7
bills game	6
dodgers game	6
game night	6
steelers game	5
georgia game	5
bears game	5
ohio state game	5
ravens game	5
army navy game	3
game awards	3
	
RISING	
thanos squid game	飙升
squid game season 3	4800%
squid game season 1	3300%
how many episodes in squid game season 2	3200%
squid game season 2 cast	2250%
sprunki game	2150%
world series game 4	2100%
world series game 3	2100%
big 10 championship game	2000%
world series game 5	1850%
world series game 2	1750%
world series game 1	1700%
game awards 2024	1700%
squid game 2	1700%
cavs game	1650%
squid game cast	1600%
big 12 championship game	1550%
sec championship game	1500%
army navy game	1350%
big ten championship game	1350%
squid game season 2	1350%
acc championship game	1200%
game awards	1150%
squid game	1150%
bowl game schedule	1100%
